"Series,""Date"",""Value"""
"Y for Smartbrick 141425,""2022-03-08 16:13:00"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 16:23:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 16:33:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 16:43:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 16:53:01"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 17:03:01"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 17:13:01"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 17:23:00"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-08 17:33:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 17:43:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 17:53:01"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 18:03:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 18:13:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 18:23:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 18:33:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 18:43:01"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-08 18:53:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 19:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 19:13:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 19:23:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 19:33:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 19:43:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-08 19:53:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 20:03:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 20:13:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 20:23:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 20:33:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 20:43:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 20:53:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 21:03:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 21:13:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 21:23:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 21:33:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 21:43:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 21:53:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 22:03:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 22:13:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 22:23:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 22:33:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 22:43:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 22:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-08 23:03:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-08 23:13:01"",""1.67236328"""
