"Series,""Date"",""Value"""
"Temperature for Smartbrick 141419,""2022-03-08 13:51:27"",""7.9"""
"Temperature for Smartbrick 141419,""2022-03-08 14:01:24"",""7.9"""
"Temperature for Smartbrick 141419,""2022-03-08 14:11:23"",""8.1"""
"Temperature for Smartbrick 141419,""2022-03-08 14:31:23"",""8.3"""
"Temperature for Smartbrick 141419,""2022-03-08 14:51:23"",""8.6"""
"Temperature for Smartbrick 141419,""2022-03-08 15:11:27"",""8.5"""
"Temperature for Smartbrick 141419,""2022-03-08 15:21:23"",""8.5"""
"Temperature for Smartbrick 141419,""2022-03-08 15:31:23"",""8.5"""
"Temperature for Smartbrick 141419,""2022-03-08 15:51:23"",""8.6"""
"Temperature for Smartbrick 141419,""2022-03-08 16:11:23"",""8.6"""
"Temperature for Smartbrick 141419,""2022-03-08 16:21:23"",""8.6"""
"Temperature for Smartbrick 141419,""2022-03-08 16:41:27"",""8.6"""
"Temperature for Smartbrick 141419,""2022-03-08 16:51:27"",""8.5"""
"Temperature for Smartbrick 141419,""2022-03-08 17:01:23"",""8.5"""
"Temperature for Smartbrick 141419,""2022-03-08 17:11:23"",""8.4"""
"Temperature for Smartbrick 141419,""2022-03-08 17:31:27"",""8.2"""
"Temperature for Smartbrick 141419,""2022-03-08 17:41:23"",""8.1"""
"Temperature for Smartbrick 141419,""2022-03-08 17:51:27"",""8"""
"Temperature for Smartbrick 141419,""2022-03-08 18:01:22"",""7.9"""
"Temperature for Smartbrick 141419,""2022-03-08 18:11:23"",""7.7"""
"Temperature for Smartbrick 141419,""2022-03-08 18:21:27"",""7.6"""
"Temperature for Smartbrick 141419,""2022-03-08 18:31:23"",""7.4"""
"Temperature for Smartbrick 141419,""2022-03-08 18:41:26"",""7.2"""
"Temperature for Smartbrick 141419,""2022-03-08 18:51:23"",""7.1"""
"Temperature for Smartbrick 141419,""2022-03-08 19:01:23"",""7"""
"Temperature for Smartbrick 141419,""2022-03-08 19:11:23"",""6.8"""
"Temperature for Smartbrick 141419,""2022-03-08 19:21:27"",""6.7"""
"Temperature for Smartbrick 141419,""2022-03-08 19:31:23"",""6.5"""
"Temperature for Smartbrick 141419,""2022-03-08 19:41:23"",""6.3"""
"Temperature for Smartbrick 141419,""2022-03-08 19:51:23"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-08 20:01:23"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-08 20:11:23"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-08 20:21:23"",""6"""
"Temperature for Smartbrick 141419,""2022-03-08 20:31:23"",""6"""
"Temperature for Smartbrick 141419,""2022-03-08 20:41:23"",""5.9"""
"Temperature for Smartbrick 141419,""2022-03-08 20:51:23"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-08 21:01:23"",""5.6"""
"Temperature for Smartbrick 141419,""2022-03-08 21:11:23"",""5.4"""
"Temperature for Smartbrick 141419,""2022-03-08 21:21:23"",""5.3"""
"Temperature for Smartbrick 141419,""2022-03-08 21:31:23"",""5.1"""
"Temperature for Smartbrick 141419,""2022-03-08 21:41:24"",""5"""
"Temperature for Smartbrick 141419,""2022-03-08 21:51:23"",""4.9"""
"Temperature for Smartbrick 141419,""2022-03-08 22:01:23"",""4.7"""
"Temperature for Smartbrick 141419,""2022-03-08 22:11:23"",""4.6"""
"Temperature for Smartbrick 141419,""2022-03-08 22:21:23"",""4.7"""
"Temperature for Smartbrick 141419,""2022-03-08 22:31:23"",""4.6"""
"Temperature for Smartbrick 141419,""2022-03-08 22:41:23"",""4.5"""
"Temperature for Smartbrick 141419,""2022-03-08 22:51:23"",""4.4"""
"Temperature for Smartbrick 141419,""2022-03-08 23:01:23"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-08 23:11:23"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-08 23:21:23"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-08 23:31:23"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-08 23:41:23"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-08 23:51:23"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-09 00:01:23"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-09 00:11:23"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-09 00:21:23"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-09 00:31:23"",""4"""
"Temperature for Smartbrick 141419,""2022-03-09 00:41:23"",""3.9"""
"Temperature for Smartbrick 141419,""2022-03-09 00:51:23"",""3.8"""
"Temperature for Smartbrick 141419,""2022-03-09 01:01:24"",""3.7"""
"Temperature for Smartbrick 141419,""2022-03-09 01:11:23"",""3.6"""
"Temperature for Smartbrick 141419,""2022-03-09 01:21:23"",""3.6"""
"Temperature for Smartbrick 141419,""2022-03-09 01:31:23"",""3.5"""
"Temperature for Smartbrick 141419,""2022-03-09 01:41:23"",""3.5"""
"Temperature for Smartbrick 141419,""2022-03-09 01:51:23"",""3.4"""
