Data;Device ID;Sequence number;Timestamp
c446fed50af4000000e6;00CEA278;4002;8-7-2021 06:43
c444fed50aef000000e3;00CEA278;4001;8-7-2021 06:33
c446fed80af6000000e0;00CEA278;4000;8-7-2021 06:23
c443feda0af6000000e1;00CEA278;3999;8-7-2021 06:12
c445fecb0af4000000de;00CEA278;3998;8-7-2021 06:02
c44afed40af1000000e3;00CEA278;3997;8-7-2021 05:52
c44afecd0af6000000e3;00CEA278;3996;8-7-2021 05:41
c44bfeda0af4000000e6;00CEA278;3995;8-7-2021 05:31
c444fed80af2000000e4;00CEA278;3994;8-7-2021 05:21
c44afeda0af8000000e0;00CEA278;3993;8-7-2021 05:10
c44afed60af6000000e3;00CEA278;3992;8-7-2021 05:00
c451fed40afa000000e3;00CEA278;3991;8-7-2021 04:50
c446fed40af8000000e1;00CEA278;3990;8-7-2021 04:39
c445fed80af4000000e3;00CEA278;3989;8-7-2021 04:29
c44cfed30af9000000e3;00CEA278;3988;8-7-2021 04:19
c439fed10af7000000e3;00CEA278;3987;8-7-2021 04:08
c443fed40af2000000e3;00CEA278;3986;8-7-2021 03:58
c448fecd0afb000000e1;00CEA278;3985;8-7-2021 03:48
c442fed00af3000000e4;00CEA278;3984;8-7-2021 03:37
c44bfed40af7000000e3;00CEA278;3983;8-7-2021 03:27
c44dfed40af5000000e6;00CEA278;3982;8-7-2021 03:17
c444fed20af2000000e3;00CEA278;3981;8-7-2021 03:06
c44dfed20af6000000e3;00CEA278;3980;8-7-2021 02:56
c447fed20af3000000e4;00CEA278;3979;8-7-2021 02:46
c443fed30afe000000e3;00CEA278;3978;8-7-2021 02:35
c445fed40af9000000e0;00CEA278;3977;8-7-2021 02:25
c44cfecd0af9000000e1;00CEA278;3976;8-7-2021 02:15
c448fed20af9000000e1;00CEA278;3975;8-7-2021 02:04
c44cfece0af8000000e4;00CEA278;3974;8-7-2021 01:54
c447fed30af2000000e1;00CEA278;3973;8-7-2021 01:44
c447fece0afe000000e0;00CEA278;3972;8-7-2021 01:33
c445fecf0afc000000e3;00CEA278;3971;8-7-2021 01:23
c440fecc0afc000000e3;00CEA278;3970;8-7-2021 01:13
c444fecd0b02000000e4;00CEA278;3969;8-7-2021 01:02
c446feca0b01000000e7;00CEA278;3968;8-7-2021 00:52
c442fed00af2000000e0;00CEA278;3967;8-7-2021 00:42
c445fed20b00000000e3;00CEA278;3966;8-7-2021 00:31
c445fecb0aff000000e1;00CEA278;3965;8-7-2021 00:21
c44efed50b00000000e1;00CEA278;3964;8-7-2021 00:11
c438fecb0afb000000e3;00CEA278;3963;8-7-2021 00:00
c44cfec90b01000000e7;00CEA278;3962;7-7-2021 23:50
c445fecb0af9000000dc;00CEA278;3961;7-7-2021 23:40
c441fec90af9000000e4;00CEA278;3960;7-7-2021 23:29
c440fec80aff000000e7;00CEA278;3959;7-7-2021 23:19
