"Data";"Device ID";"Sequence number";"Timestamp"
"c547ff2b1032000000db01";"00CEA299";"3031";"2021-07-13 15:15:00"
"c54dff2f103e000000d900";"00CEA299";"3030";"2021-07-13 15:02:25"
"c548ff29103e000000d900";"00CEA299";"3029";"2021-07-13 14:52:06"
"c54aff32103c000000d900";"00CEA299";"3028";"2021-07-13 14:41:45"
"c546ff281038000000d900";"00CEA299";"3027";"2021-07-13 14:31:25"
"c541ff2b1030000000d900";"00CEA299";"3026";"2021-07-13 14:21:06"
"c545ff281033000000db00";"00CEA299";"3025";"2021-07-13 14:10:46"
"c545ff2f1035000000d900";"00CEA299";"3024";"2021-07-13 14:00:26"
"c549ff321036000000d400";"00CEA299";"3023";"2021-07-13 13:50:05"
"c548ff2a1030000000de00";"00CEA299";"3022";"2021-07-13 13:39:46"
"c54fff2d1035000000de00";"00CEA299";"3021";"2021-07-13 13:29:25"
"c550ff21102a000000de00";"00CEA299";"3020";"2021-07-13 13:19:05"
"c54aff271033000000de00";"00CEA299";"3019";"2021-07-13 13:08:46"
"c54aff2c103d000000d600";"00CEA299";"3018";"2021-07-13 12:58:26"
"c546ff231039000000db00";"00CEA299";"3017";"2021-07-13 12:48:05"
"c551ff311037000000d800";"00CEA299";"3016";"2021-07-13 12:37:45"
"c54cff2d1035000000d800";"00CEA299";"3015";"2021-07-13 12:27:26"
"c545ff281031000000d800";"00CEA299";"3014";"2021-07-13 12:17:06"
"c54aff291033000000d900";"00CEA299";"3013";"2021-07-13 12:06:46"
"c546ff271032000000d901";"00CEA299";"3012";"2021-07-13 11:58:42"
"c547ff2c1033000000d400";"00CEA299";"3011";"2021-07-13 11:46:05"
"c54dff2e1033000000d800";"00CEA299";"3010";"2021-07-13 11:35:45"
"c549ff261034000000e000";"00CEA299";"3009";"2021-07-13 11:25:25"
"c53cff291034000000d900";"00CEA299";"3008";"2021-07-13 11:15:05"
"c549ff2d1032000000d800";"00CEA299";"3007";"2021-07-13 11:04:46"
"c548ff30103e000000dc00";"00CEA299";"3006";"2021-07-13 10:54:28"
"c542ff231034000000db00";"00CEA299";"3005";"2021-07-13 10:44:06"
"c53eff2e1039000000db00";"00CEA299";"3004";"2021-07-13 10:33:45"
"c540ff28103c000000d800";"00CEA299";"3003";"2021-07-13 10:23:25"
"c548ff311030000000db01";"00CEA299";"3002";"2021-07-13 10:15:19"
"c545ff2f102b000000de00";"00CEA299";"3001";"2021-07-13 10:02:45"
"c53dff30102d000000dc00";"00CEA299";"3000";"2021-07-13 09:52:25"
"c543ff2d1036000000d900";"00CEA299";"2999";"2021-07-13 09:42:05"
"c548ff2d1032000000d900";"00CEA299";"2998";"2021-07-13 09:31:45"
"c544ff2f1035000000db02";"00CEA299";"2997";"2021-07-13 09:25:54"
"c545ff2e1034000000db00";"00CEA299";"2996";"2021-07-13 09:11:06"
"c53cff2a1034000000dc00";"00CEA299";"2995";"2021-07-13 09:00:45"
"c53bff2d1031000000d800";"00CEA299";"2994";"2021-07-13 08:50:25"
"c544ff2e102c000000dc00";"00CEA299";"2993";"2021-07-13 08:40:05"
"c545ff301033000000db00";"00CEA299";"2992";"2021-07-13 08:29:45"
"c540ff321030000000db00";"00CEA299";"2991";"2021-07-13 08:19:25"
"c545ff2a103e000000dc00";"00CEA299";"2990";"2021-07-13 08:09:05"
"c542ff2a1031000000de01";"00CEA299";"2989";"2021-07-13 08:00:59"
"c547ff2e1032000000d900";"00CEA299";"2988";"2021-07-13 07:48:25"
"c542ff351033000000d400";"00CEA299";"2987";"2021-07-13 07:38:05"
"c544ff2c102d000000d600";"00CEA299";"2986";"2021-07-13 07:27:45"
"c540ff271031000000db00";"00CEA299";"2985";"2021-07-13 07:17:25"
"c545ff2d1039000000d900";"00CEA299";"2984";"2021-07-13 07:07:05"
"c540ff301034000000d900";"00CEA299";"2983";"2021-07-13 06:56:45"
"c542ff2c1032000000d600";"00CEA299";"2982";"2021-07-13 06:46:25"
"c53fff1f1032000000d600";"00CEA299";"2981";"2021-07-13 06:36:05"
"c54aff30102e000000d300";"00CEA299";"2980";"2021-07-13 06:25:45"
"c548ff281030000000d400";"00CEA299";"2979";"2021-07-13 06:15:25"
"c550ff27102e000000d800";"00CEA299";"2978";"2021-07-13 06:05:05"
"c572ff13102d000000d900";"00CEA299";"2977";"2021-07-13 05:54:45"
"c538ff2c1033000000db00";"00CEA299";"2976";"2021-07-13 05:44:25"
"c530ff2f1038000000d600";"00CEA299";"2975";"2021-07-13 05:34:05"
"c534ff2e1036000000db00";"00CEA299";"2974";"2021-07-13 05:23:45"
"c53aff31102f000000db01";"00CEA299";"2973";"2021-07-13 05:15:39"
"c538ff321031000000dc00";"00CEA299";"2972";"2021-07-13 05:03:05"
"c53dff331033000000d801";"00CEA299";"2971";"2021-07-13 04:54:59"
